address,address2,almond,beverageonly,city,co_brander_cd,combostore,country,county,dma_cd,drivein,dunkincardenabled,faxnumber,fri_hours,k_cup,lat,lng,loyalty,mobile,mon_hours,phonenumber,postal,recordid,sat_hours,sitetype,statename,sun_hours,thu_hours,tue_hours,turbooven,wed_hours,wireless
100 Church Rd.,,,N,Marlton,BRD,N,US,BURLINGTON,504,N,Y,732-528-0756,05:00-22:00,Y,39.915821,-74.925097,Y,Y,05:00-22:00,856-985-2909,8053,335888,05:00-22:00,EC,NJ,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
7970 Dungan Rd,# 80,,N,Philadelphia,,N,US,Philadelphia,504,Y,Y,215-745-7071,05:00-21:30,Y,40.067769,-75.068592,Y,Y,05:00-21:30,215-745-7040,19111,342380,05:00-21:30,FS,PA,05:00-21:30,05:00-21:30,05:00-21:30,Y,05:00-21:30,Y
810 Welsh Rd,,,N,Horsham,,N,US,MONTGOMERY,504,N,Y,215-947-8430,06:00-21:00,Y,40.178692,-75.178906,Y,Y,06:00-21:00,215-643-1100,19044,335700,06:00-21:00,EC,PA,06:00-20:00,06:00-21:00,06:00-21:00,Y,06:00-21:00,Y
7500 Frankford Ave,,,N,Philadelphia,,N,US,PHILADELPHIA,504,Y,Y,215-288-3409,04:30-00:00,Y,40.038657,-75.036051,Y,Y,04:30-00:00,215-335-3155,19136,332893,04:30-00:00,FS,PA,05:00-00:00,04:30-00:00,04:30-00:00,Y,04:30-00:00,Y
1800 Atlantic Ave,,,N,Atlantic City,BDT,N,US,ATLANTIC,504,N,Y,856-874-1827,24HOURS,N,39.359862,-74.433132,Y,Y,24HOURS,609-317-4798,8401,334684,24HOURS,FS,NJ,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
11180 Goede Rd,,,N,Edgerton,,Y,US,Rock,669,Y,Y,608-884-0333,24HOURS,Y,42.835759,-89.023825,Y,Y,24HOURS,608-884-0333,53534,347346,24HOURS,GC,WI,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1601 Boardwalk,,,N,Atlantic City,,N,US,Atlantic,504,N,Y,908-474-1009,07:00-00:00,N,39.356493,-74.427629,Y,Y,07:00-00:00,609-347-0017,8401,336909,07:00-00:00,EC,NJ,07:00-00:00,07:00-00:00,07:00-00:00,Y,07:00-00:00,E
1102 N. Rt 130,,,N,Cinnaminson,,N,US,Burlington,504,N,Y,856-786-1127,05:00-22:00,Y,39.997053,-74.991631,Y,Y,05:00-22:00,856-786-1127,8077,303536,05:00-22:00,FS,NJ,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
6366 Hamilton Blvd,,,N,Trexlertown,,N,US,Lehigh,504,Y,Y,610-366-7202,05:00-22:00,Y,40.555427,-75.580128,Y,Y,05:00-22:00,610-366-7201,18087,342836,05:00-22:00,EC,PA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
653 E. Broad St,,,N,Souderton,,Y,US,Montgomery,504,Y,Y,215-799-0198,24HOURS,Y,40.314058,-75.312343,Y,Y,24HOURS,215-799-0199,18964,310348,24HOURS,EC,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1133 Boardwalk,Resorts Casino,,N,Atlantic City,,N,US,Atlantic,504,N,Y,856-435-1284,24HOURS,,39.358088,-74.421537,Y,Y,24HOURS,609-449-8243,8401,352069,24HOURS,CS,NJ,24HOURS,24HOURS,24HOURS,Y,24HOURS,N
8298 Bustleton Ave,,,N,Philadelphia,,N,US,Philadelphia,504,N,Y,215-671-0626,05:00-20:00,Y,40.066204,-75.051428,Y,Y,05:00-20:00,215-268-9636,19152,304931,05:00-20:00,EC,PA,05:00-20:00,05:00-20:00,05:00-20:00,Y,05:00-20:00,Y
3608 Welsh Rd,,,N,Willow Grove,,N,US,Montgomery,504,Y,Y,201-664-7995,05:00-22:00,Y,40.152059,-75.136268,Y,Y,05:00-22:00,215-659-2193,19090,346208,05:00-22:00,EC,PA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1701 Old York Rd,,,N,Abington,,N,US,MONTGOMERY,504,Y,Y,215-657-4717,24HOURS,Y,40.131756,-75.115536,Y,Y,24HOURS,215-657-4717,19001,339435,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
38 W. Dyke St.,,,N,Wellsville,,N,US,ALLEGANY,514,Y,Y,585-593-4288,05:00-22:00,Y,42.116872,-77.941111,Y,Y,05:00-21:00,585-593-2420,14895,339203,06:00-22:00,FS,NY,06:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
4030 Chestnut St,,,N,Emmaus,,N,US,Lehigh,504,N,Y,610-966-4160,05:00-22:00,Y,40.520116,-75.521068,Y,Y,05:00-22:00,610-966-4160,18049,346220,05:00-22:00,EC,PA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
323 E. Jimmie Leeds Rd,(Rte561),,N,Galloway,,N,US,Atlantic,504,N,Y,609-748-8822,05:00-22:00,Y,39.466352,-74.497859,Y,Y,05:00-22:00,609-748-8822,8205,342538,05:00-22:00,EC,NJ,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1050 Bethlehem Pike,,,N,Colmar,,N,US,Montgomery,504,Y,Y,215-822-0098,05:00-22:00,Y,40.285485,-75.262708,Y,Y,05:00-22:00,215-822-7800,18915,349975,05:00-22:00,FS,PA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
2998 A Welsh Rd,,,N,Philadelphia,,N,US,PHILADELPHIA,504,Y,Y,--,24HOURS,Y,40.056845,-75.028883,Y,Y,24HOURS,215-676-1477,19152,337079,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1035 Easton Rd,,,N,Willow Grove,,N,US,Montgomery,504,Y,Y,215-706-4444,24HOURS,Y,40.155851,-75.121564,Y,Y,24HOURS,215-706-4444,19090,304502,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1918 John Fries Hwy,,,N,Quakertown,,N,US,Bucks,504,Y,Y,--,04:30-22:00,Y,40.435592,-75.416928,Y,Y,04:30-22:00,215-536-6060,18951,343716,05:30-22:00,FS,PA,06:00-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
9173 Roosevelt Blvd,,,N,Philadelphia,,N,US,Philadelphia,504,Y,Y,215-671-0626,24HOURS,Y,40.073381,-75.033783,Y,Y,24HOURS,215-671-8400,19114,302915,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
549 Doylestown Rd,,,N,Lansdale,,N,US,MONTGOMERY,504,N,Y,215-361-4336,24HOURS,Y,40.26535,-75.22833,Y,Y,24HOURS,215-361-4336,19446,342184,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
8902 Frankford Ave,,,N,Philadelphia,,N,US,PHILADELPHIA,504,Y,Y,215-632-8376,24HOURS,Y,40.05078,-75.010079,Y,Y,24HOURS,215-335-4528,19136,304587,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
2618 Easton Rd,,,N,Willow Grove,,N,US,Montgomery,504,Y,Y,215-706-4415,24HOURS,Y,40.169092,-75.126912,Y,Y,24HOURS,215-442-1602,19090,335516,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
N56W15560 Silver Spring Dr,Ste A,,N,Menomonee Falls,,N,US,Waukesha,617,Y,Y,--,05:00-23:00,Y,43.1178,-88.104653,Y,Y,05:00-23:00,262-373-1799,53051,349839,05:00-23:00,EC,WI,05:00-23:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,Y
3218 Willits Rd,Sunoco,,N,Philadelphia,SUN,N,US,Delaware,504,N,Y,215-673-6800,24HOURS,Y,40.056859,-75.014113,Y,Y,24HOURS,215-673-6800,19136,345986,24HOURS,GC,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1619 Grant Ave,Suite 5,,N,Philadelphia,,N,US,PHILADELPHIA,504,N,Y,215-671-0626,05:00-19:00,Y,40.087271,-75.039911,Y,Y,05:00-19:00,215-464-8444,19115,310382,05:00-19:00,IN,PA,05:00-19:00,05:00-19:00,05:00-19:00,Y,05:00-19:00,Y
5640 Hamilton Blvd,Hess,,N,Allentown,HES,N,US,Lehigh,504,N,N,--,24HOURS,Y,40.567051,-75.551409,,N,24HOURS,610-530-0762,18106,347309,24HOURS,HE,PA,24HOURS,24HOURS,24HOURS,N,24HOURS,E
4777 Hamilton Blvd,,,N,Allentown,,N,US,Lehigh,504,Y,Y,610-366-9239,24HOURS,Y,40.567675,-75.550998,Y,Y,24HOURS,610-366-9235,18103,341980,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3601 Rt 38,Martin Liquors,,N,Mount Laurel,,N,US,BURLINGTON,504,N,Y,856-840-0735,05:00-21:30,Y,39.966398,-74.918987,Y,Y,05:00-21:30,856-840-0730,8054,339964,05:00-21:30,SC,NJ,05:00-21:30,05:00-21:30,05:00-21:30,Y,05:00-21:30,Y
618 Welsh Rd,,,N,Huntingdon Valley,,N,US,Montgomery,504,N,Y,215-938-1995,05:00-21:00,Y,40.11921,-75.06801,Y,Y,05:00-21:00,215-938-8885,19006,349059,05:00-21:00,EC,PA,05:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
7446 Metcalf Ave,,,N,Overland Park,,N,US,Johnson,616,Y,Y,913-396-6243,24HOURS,Y,38.993298,-94.668032,Y,Y,24HOURS,913-396-6316,66204,348369,24HOURS,FS,KS,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
9240 State Rd,,,N,Philadelphia,,N,US,PHILADELPHIA,504,Y,Y,215-612-1859,04:00-22:30,Y,40.046573,-74.99412,Y,Y,04:00-22:30,215-612-1008,19114,341727,04:00-22:30,EC,PA,04:00-22:30,04:00-22:30,04:00-22:30,Y,04:00-22:30,Y
9490 Blue Grass Rd,,,N,Philadelphia,,N,US,PHILADELPHIA,504,Y,Y,215-244-9242,24HOURS,Y,40.07889,-75.025737,Y,Y,24HOURS,215-671-9117,19114,338010,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3320 Grant Ave,Unit 18b,,N,Philadelphia,,N,US,PHILADELPHIA,504,N,Y,609-620-0062,05:00-22:00,Y,40.067949,-75.007121,Y,Y,05:00-22:00,215-671-9117,19114,337488,05:00-22:00,EC,PA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
4793 W Tilghman St,,,N,Allentown,,N,US,LEHIGH,504,N,Y,610-395-1997,05:30-21:00,Y,40.589824,-75.562975,Y,Y,05:30-21:00,610-395-5770,18104,308570,05:30-21:00,EC,PA,06:00-19:00,05:30-21:00,05:30-21:00,Y,05:30-21:00,Y
9834 Bustleton Ave,,,N,Philadelphia,,Y,US,Philadelphia,504,Y,Y,215-676-5650,04:00-00:00,Y,40.093936,-75.03212,Y,Y,04:00-00:00,215-676-0700,19115,332941,04:00-00:00,FS,PA,04:00-00:00,04:00-00:00,04:00-00:00,Y,04:00-00:00,Y
130 N. Chester Ave,,,N,Delran,,N,US,Burlington,504,Y,Y,856-824-1503,04:00-22:30,Y,40.015084,-74.953498,Y,Y,04:00-22:30,856-461-6559,8075,304726,04:00-22:30,FS,NJ,04:00-22:30,04:00-22:30,04:00-22:30,Y,04:00-22:30,Y
1250 Easton Rd,,,N,Horsham,,N,US,Montgomery,504,Y,Y,215-441-5800,04:00-22:00,Y,40.204327,-75.139223,Y,Y,04:00-22:00,215-441-4200,19044,339666,04:00-22:00,FS,PA,04:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
420 Stokes Rd,"Route-541, Unit 6",,N,Medford,,N,US,Burlington,504,N,Y,856-667-7340,05:00-21:00,Y,39.876429,-74.816944,Y,Y,05:00-21:00,609-953-2494,8055,343672,05:00-21:00,EC,NJ,05:00-19:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
4012 Brigantine Blvd,,,N,Brigantine,,N,US,Atlantic,504,N,Y,856-874-1827,05:00-22:00,Y,39.394599,-74.398299,Y,Y,05:00-22:00,609-264-7750,8203,335577,05:00-22:00,GC,NJ,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,E
842 Red Lion Rd,,,N,Philadelphia,,N,US,Delaware,504,Y,Y,215-464-4396,04:30-22:00,Y,40.103094,-75.030151,Y,Y,04:30-22:00,215-464-2671,19115,343497,05:00-22:00,FS,PA,05:00-21:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
3370 Route 38,,,N,Mount Laurel,,N,US,Burlington,504,Y,Y,--,05:30-23:00,Y,39.96823,-74.89843,Y,Y,05:30-23:00,856-581-4907,8054,350915,05:30-23:00,FS,NJ,05:30-23:00,05:30-23:00,05:30-23:00,Y,05:30-23:00,Y
178 Route 70,Medford Shopping Center,,N,Medford,,Y,US,Burlington,504,Y,Y,--,05:00-22:00,Y,39.901078,-74.832194,Y,Y,05:00-22:00,609-953-6957,8055,339093,05:00-22:00,FS,NJ,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1825 Pa Route 309,,,N,Allentown,,N,US,LEHIGH,504,Y,Y,610-395-1997,05:30-21:00,Y,40.613046,-75.571491,Y,Y,05:30-21:00,610-395-9296,18104,302534,05:30-21:00,GC,PA,06:00-19:00,05:30-21:00,05:30-21:00,Y,05:30-21:00,E
10050 Roosevelt Blvd,,,N,Philadelphia,,N,US,Philadelphia,504,N,Y,--,24HOURS,Y,40.095592,-75.015019,Y,Y,24HOURS,215-464-2477,19116,302446,24HOURS,EC,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
9900 Frankford Ave,,,N,Philadelphia,BRD,N,US,PHILADELPHIA,504,Y,Y,215-632-8376,04:30-22:00,Y,40.064787,-74.983191,Y,Y,04:30-22:00,215-632-0999,19114,304270,04:30-22:00,FS,PA,04:30-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
334 Easton Rd,,,N,Warrington,,N,US,Bucks,504,Y,Y,215-343-0725,24HOURS,Y,40.222545,-75.140123,Y,Y,24HOURS,215-343-0795,18976,337839,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3200 Red Lion Rd,,,N,Philadelphia,,N,US,PHILADELPHIA,504,N,Y,215-632-8376,04:30-22:00,Y,40.081248,-74.994878,Y,Y,04:30-22:00,215-281-1033,19114,330374,04:30-22:00,FS,PA,05:00-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,E
598 N York Rd,,,N,Hatboro,KUK,N,US,Montgomery,504,N,Y,--,05:00-22:00,Y,40.189453,-75.10267,Y,Y,05:00-22:00,215-675-3200,19040,348540,06:00-22:00,GC,PA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,E
3219 Hamilton Blvd,,,N,Allentown,BDT,Y,US,Lehigh,504,Y,Y,610-770-9575,24HOURS,Y,40.579732,-75.523062,Y,Y,24HOURS,610-770-9466,18103,331199,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3211 Route 38,,,N,Mount Laurel,,N,US,Burlington,504,N,Y,856-802-1093,05:30-20:00,Y,39.970225,-74.883465,Y,Y,05:30-20:00,856-608-1800,8054,341542,05:30-20:00,EC,NJ,05:30-20:00,05:30-20:00,05:30-20:00,Y,05:30-20:00,Y
3626 Route 309,,,N,Orefield,,N,US,Lehigh,504,Y,Y,610-398-3340,05:00-22:00,Y,40.647491,-75.595321,Y,Y,05:00-22:00,610-391-1182,18069,344415,05:00-22:00,FS,PA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
3640 Route 309,Hess,,N,Orefield,HES,N,US,Lehigh,504,N,N,--,24HOURS,Y,40.647884,-75.595709,,N,24HOURS,610-395-3110,18069,351310,24HOURS,HE,PA,24HOURS,24HOURS,24HOURS,N,24HOURS,
565 West Main St,,,N,Springville,,N,US,ERIE,514,Y,Y,--,05:00-21:00,Y,42.509404,-78.688207,Y,Y,05:00-21:00,716-592-2561,14141,341315,06:00-21:00,FS,NY,06:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
120 S West End Blvd,,,N,Quakertown,,N,US,BUCKS,504,Y,Y,610-770-9575,05:00-23:00,Y,40.439935,-75.356437,Y,Y,05:00-23:00,215-538-3778,18951,331701,05:00-23:00,EC,PA,05:30-23:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,Y
12075 W 87th St Parkway,,,N,Lenexa,,N,US,Johnson,616,Y,Y,--,24HOURS,Y,38.970685,-94.725776,Y,Y,24HOURS,913-396-6316,66215,352265,24HOURS,FS,KS,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1425 W. Street Rd,,,N,Warminster,,N,US,Bucks,504,Y,Y,215-444-9180,24HOURS,Y,40.218666,-75.120595,Y,Y,24HOURS,215-444-9180,18976,342872,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3039 Lehigh St,,,N,Allentown,,N,US,Lehigh,504,N,Y,--,05:00-21:00,Y,40.559037,-75.487471,Y,Y,05:00-21:00,610-791-7747,18103,304195,05:00-21:00,FS,PA,05:00-18:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
2112 County Line Rd,,,N,Huntingdon Valley,,N,US,Montgomery,504,N,Y,215-396-9933,24HOURS,Y,40.171811,-75.072592,Y,Y,24HOURS,215-396-0559,19006,302642,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
11725 Bustleton Ave,,,N,Philadelphia,,N,US,PHILADELPHIA,504,Y,Y,--,24HOURS,Y,40.119525,-75.017402,Y,Y,24HOURS,215-464-4375,19106,336598,24HOURS,IN,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
13328 Philmont Rd,,,N,Philadelphia,,N,US,PHILADELPHIA,504,N,Y,856-933-6198,05:00-19:00,Y,40.129096,-75.023269,Y,Y,05:00-19:00,215-856-7335,19116,341316,05:00-19:00,EC,PA,05:00-19:00,05:00-19:00,05:00-19:00,Y,05:00-19:00,Y
360 Jacksonville Rd,,,N,Warminster,,N,US,BUCKS,504,N,Y,609-620-0062,04:00-20:00,Y,40.193212,-75.087107,Y,Y,04:00-20:00,215-293-9661,18974,332159,05:00-19:00,IN,PA,05:00-19:00,04:00-20:00,04:00-20:00,Y,04:00-20:00,Y
1301 Bristol Pike,,,N,Bensalem,,N,US,Bucks,504,Y,Y,215-632-8376,04:30-23:00,Y,40.071195,-74.964871,Y,Y,04:30-22:30,215-245-1825,19020,339159,04:30-23:00,FS,PA,04:30-22:30,04:30-22:30,04:30-22:30,Y,04:30-22:30,Y
590 West Street Rd,,,N,Warminster,,N,US,BUCKS,504,N,Y,609-620-0062,05:00-21:00,Y,40.20617,-75.09828,Y,Y,05:00-21:00,215-441-4562,18974,342638,05:00-21:00,FS,PA,05:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
3101 Marne Hwy,,,N,Mount Laurel,,N,US,Burlington,504,Y,Y,609-267-3966,04:00-22:30,Y,39.978835,-74.870828,Y,Y,04:00-22:30,856-234-9995,8054,339052,04:00-22:00,FS,NJ,04:00-22:00,04:00-22:30,04:00-22:30,Y,04:00-22:30,Y
1403 N Cedar Crest Blvd,Suite 150,,N,Allentown,,N,US,Lehigh,504,N,Y,215-689-4275,04:30-22:00,Y,40.61215,-75.531958,Y,Y,04:30-22:00,610-435-3293,18104,346805,04:30-22:00,EC,PA,05:00-21:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
4046 Woodhaven Blvd,,,N,Philadelphia,,N,US,PHILADELPHIA,504,Y,Y,215-244-9242,24HOURS,Y,40.087782,-74.973114,Y,Y,24HOURS,215-612-0564,19154,330796,24HOURS,GC,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1190 N Church St,Route 309,Y,N,Hazleton,,N,US,Luzerne,577,Y,Y,570-752-6810,24HOURS,Y,40.980397,-75.980415,Y,Y,24HOURS,570-450-7298,18202,330031,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
12375 Academy Rd,Parkwood Shopping Center,,N,Philadelphia,,N,US,PHILADELPHIA,504,Y,Y,215-632-8376,04:30-22:00,Y,40.096611,-74.974941,Y,Y,04:30-22:00,215-632-4919,19154,336599,04:30-22:00,FS,PA,05:00-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
320 Beverly Rancocas Rd,Ste 24,,N,Willingboro,,N,US,BURLINGTON,504,Y,Y,856-249-9134,05:00-21:00,Y,40.027337,-74.907124,Y,Y,05:00-21:00,609-835-7777,8046,340789,05:00-21:00,FS,NJ,05:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
1055 York Rd,,,N,Warminster,,N,US,BUCKS,504,N,Y,215-722-1190,04:00-23:00,Y,40.221288,-75.097609,Y,Y,04:00-23:00,215-956-9311,18974,336998,04:00-23:00,FS,PA,04:00-23:00,04:00-23:00,04:00-23:00,Y,04:00-23:00,Y
554 2nd Street Pike,,,N,Southampton,,N,US,Bucks,504,N,Y,609-620-0062,24HOURS,Y,40.171019,-75.045188,Y,Y,24HOURS,215-953-6645,18966,332059,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
551 Franklin Mills Cir,,,N,Philadelphia,,N,US,Philadelphia,504,Y,Y,609-228-7480,06:00-21:00,Y,40.089437,-74.963979,Y,Y,06:00-21:00,215-632-1806,19154,351057,06:00-21:00,FS,PA,06:00-21:00,06:00-21:00,06:00-21:00,Y,06:00-21:00,Y
15 Bustleton Pike,,,N,Feasterville Trevose,,N,US,Bucks,504,Y,Y,--,05:00-23:00,Y,40.13476,-75.00832,Y,Y,05:00-23:00,215-942-6625,19053,351099,05:00-23:00,FS,PA,05:00-23:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,Y
18051 W 119th St,,,N,Olathe,,N,US,Johnson,616,Y,Y,--,24HOURS,Y,38.912588,-94.793576,Y,Y,24HOURS,913-396-6316,66061,349814,24HOURS,FS,KS,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1529 Route 206,,,N,Tabernacle,,N,US,Burlington,504,N,Y,609-268-1435,04:00-22:00,Y,39.853414,-74.734091,Y,Y,04:00-22:00,609-268-1434,8088,343856,04:00-22:00,EC,NJ,04:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
12137 Shawnee Mission Pkwy,,,N,Shawnee,,N,US,Johnson,616,Y,Y,--,24HOURS,Y,39.01441,-94.72756,Y,Y,24HOURS,913-396-6316,66216,351242,24HOURS,SC,KS,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
318 S 3rd St,,,N,Coopersburg,SHL,N,US,Lehigh,504,Y,Y,--,05:00-21:00,Y,40.506663,-75.387584,Y,Y,05:00-21:00,610-282-2021,18036,346982,06:00-21:00,GC,PA,06:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,E
1043 Lehigh St,# 45,,N,Allentown,HES,N,US,Lehigh,504,N,N,--,05:00-23:00,,40.587808,-75.474255,,N,05:00-23:00,610-740-6011,18105,347311,05:00-23:00,HE,PA,05:00-23:00,05:00-23:00,05:00-23:00,N,05:00-23:00,E
2451 Lincoln Hwy # Us,,,N,Trevose,,N,US,BUCKS,504,N,Y,215-632-8376,04:30-22:00,Y,40.122106,-74.976294,Y,Y,04:30-22:00,215-244-3255,19053,300830,04:30-22:00,FS,PA,04:30-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
1427 W. Tilghman St,,,N,Allentown,,N,US,Lehigh,504,Y,Y,610-395-1997,24HOURS,Y,40.607687,-75.491725,Y,Y,24HOURS,610-433-0773,18102,300521,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
110 E. Street Rd,,,N,Lower Southampton,,N,US,Bucks,504,N,Y,--,24HOURS,Y,40.148535,-74.99885,Y,Y,24HOURS,215-357-3186,19047,304531,24HOURS,EC,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
402 W Emaus Ave,,,N,Allentown,,N,US,Lehigh,504,N,Y,--,04:00-23:00,Y,40.577717,-75.454479,Y,Y,04:00-23:00,610-797-0887,18103,302014,04:00-23:00,FS,PA,04:00-23:00,04:00-23:00,04:00-23:00,Y,04:00-23:00,Y
2901 Hulmville Rd,,,N,Bensalem,,N,US,BUCKS,504,Y,Y,215-244-9242,24HOURS,Y,40.096794,-74.944123,Y,Y,24HOURS,215-245-6898,19020,336368,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
4353 Rte 130 S,Pathmark Shopping Ctr,,N,Edgewater Park,,N,US,BURLINGTON,504,Y,Y,856-461-6320,04:30-22:00,Y,40.051856,-74.895999,Y,Y,04:30-22:00,609-871-9422,8010,336849,04:30-22:00,FS,NJ,05:00-21:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
3401 Street Rd,,,N,Bensalem,,N,US,Bucks,504,Y,Y,215-645-1608,24HOURS,Y,40.121017,-74.961913,Y,Y,24HOURS,215-645-1602,19020,348541,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
112 North 6th St,,,N,Allentown,,N,US,Lehigh,504,N,Y,610-434-9300,05:00-21:00,Y,40.60437,-75.4711,Y,Y,05:00-21:00,610-434-9300,18101,345407,05:00-21:00,MT,PA,07:00-18:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
1625 Kendarbren Dr,,,N,Jamison,,N,US,Bucks,504,Y,Y,215-722-2131,24HOURS,Y,40.254699,-75.089499,Y,Y,24HOURS,215-343-4922,18929,338278,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
230 Rte 313/#1,,,N,Perkasie,,Y,US,BUCKS,504,N,Y,215-933-6198,05:00-21:00,Y,40.377335,-75.212105,Y,Y,05:00-21:00,215-249-1922,18944,338869,05:00-21:00,EC,PA,05:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
1107 Sunset Rd,,,N,Burlington,,N,US,Burlington,504,Y,Y,--,04:30-22:00,Y,40.048863,-74.87899,Y,Y,04:30-22:00,609-239-2640,8016,349198,04:30-22:00,FS,NJ,04:30-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
1174 Macarthur Rd,,,N,Whitehall,,N,US,LEHIGH,504,Y,Y,601-866-8666,24HOURS,Y,40.621162,-75.480809,Y,Y,24HOURS,610-820-0661,18052,306077,24HOURS,FS,PA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
100 Springside Rancocas Rd,Rte 635,,N,Westampton,,Y,US,BURLINGTON,504,Y,Y,609-880-1526,04:00-00:00,Y,40.025217,-74.855451,Y,Y,04:00-00:00,609-880-1520,8060,340788,04:00-00:00,FS,NJ,04:00-00:00,04:00-00:00,04:00-00:00,Y,04:00-00:00,Y
9561 N McGee St,,,N,Kansas City,,N,US,Clay,616,Y,Y,--,05:00-21:00,Y,39.265853,-94.576611,Y,Y,05:00-21:00,816-436-2244,64155,350463,05:00-21:00,FS,MO,05:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
215 W. Hamilton St,American Plaza Mall,,N,Allentown,,N,US,Lehigh,504,N,Y,610-317-0602,05:00-21:00,Y,40.605435,-75.460194,Y,Y,05:00-21:00,610-435-8355,18101,308445,05:00-21:00,EC,PA,06:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
